date,1. open,2. high,3. low,4. close,5. volume,date_time
2023-11-13 19:45:00,132.03,132.03,131.92,131.95,2867.0,2023-11-13 19:45:00
2023-11-13 19:30:00,131.92,132.02,131.92,131.99,2388.0,2023-11-13 19:30:00
2023-11-13 19:15:00,132.02,132.05,131.92,131.95,1404.0,2023-11-13 19:15:00
2023-11-13 19:00:00,132.01,132.09,131.92,132.04,1374.0,2023-11-13 19:00:00
2023-11-13 18:45:00,132.0,132.04,131.93,131.94,541.0,2023-11-13 18:45:00
2023-11-13 18:30:00,132.01,132.01,131.947,132.0,583.0,2023-11-13 18:30:00
2023-11-13 18:15:00,132.08,132.08,131.93,131.95,818.0,2023-11-13 18:15:00
2023-11-13 18:00:00,132.03,132.08,131.95,131.95,324.0,2023-11-13 18:00:00
2023-11-13 17:45:00,132.05,132.08,132.0,132.03,877.0,2023-11-13 17:45:00
2023-11-13 17:30:00,132.08,132.09,131.94,132.08,227968.0,2023-11-13 17:30:00
2023-11-13 17:15:00,131.94,135.941,130.097,132.09,45280.0,2023-11-13 17:15:00
2023-11-13 17:00:00,132.02,132.09,131.94,132.05,13887.0,2023-11-13 17:00:00
2023-11-13 16:45:00,132.06,132.12,132.02,132.06,8272.0,2023-11-13 16:45:00
2023-11-13 16:30:00,132.1,132.11,132.06,132.06,6501.0,2023-11-13 16:30:00
2023-11-13 16:15:00,132.09,132.11,132.06,132.11,3370.0,2023-11-13 16:15:00
2023-11-13 16:00:00,132.09,132.21,132.0,132.09,4780738.0,2023-11-13 16:00:00
2023-11-13 15:45:00,132.27,132.29,132.03,132.09,2063980.0,2023-11-13 15:45:00
2023-11-13 15:30:00,132.355,132.355,132.2,132.265,681303.0,2023-11-13 15:30:00
2023-11-13 15:15:00,132.57,132.575,132.32,132.36,525744.0,2023-11-13 15:15:00
2023-11-13 15:00:00,132.44,132.59,132.3,132.575,421432.0,2023-11-13 15:00:00
2023-11-13 14:45:00,132.525,132.56,132.34,132.44,331239.0,2023-11-13 14:45:00
2023-11-13 14:30:00,132.55,132.59,132.37,132.53,454238.0,2023-11-13 14:30:00
2023-11-13 14:15:00,132.305,132.58,132.23,132.55,317051.0,2023-11-13 14:15:00
2023-11-13 14:00:00,132.23,132.311,132.17,132.311,217897.0,2023-11-13 14:00:00
2023-11-13 13:45:00,132.34,132.44,132.21,132.23,293219.0,2023-11-13 13:45:00
2023-11-13 13:30:00,132.14,132.33,132.06,132.33,299181.0,2023-11-13 13:30:00
2023-11-13 13:15:00,132.14,132.26,132.0,132.135,394781.0,2023-11-13 13:15:00
2023-11-13 13:00:00,132.21,132.21,131.98,132.14,373587.0,2023-11-13 13:00:00
2023-11-13 12:45:00,132.2,132.27,132.07,132.2,360054.0,2023-11-13 12:45:00
2023-11-13 12:30:00,132.22,132.33,132.07,132.21,337481.0,2023-11-13 12:30:00
2023-11-13 12:15:00,132.17,132.31,132.03,132.19,244665.0,2023-11-13 12:15:00
2023-11-13 12:00:00,132.27,132.38,132.05,132.18,346257.0,2023-11-13 12:00:00
2023-11-13 11:45:00,132.23,132.49,132.19,132.27,620429.0,2023-11-13 11:45:00
2023-11-13 11:30:00,132.37,132.395,132.08,132.22,433932.0,2023-11-13 11:30:00
2023-11-13 11:15:00,132.3,132.41,132.12,132.38,409532.0,2023-11-13 11:15:00
2023-11-13 11:00:00,132.15,132.33,132.0,132.305,493079.0,2023-11-13 11:00:00
2023-11-13 10:45:00,131.94,132.28,131.91,132.15,641681.0,2023-11-13 10:45:00
2023-11-13 10:30:00,131.95,132.11,131.86,131.94,579436.0,2023-11-13 10:30:00
2023-11-13 10:15:00,131.754,131.96,131.55,131.955,676061.0,2023-11-13 10:15:00
2023-11-13 10:00:00,131.67,131.894,131.65,131.75,985760.0,2023-11-13 10:00:00
2023-11-13 09:45:00,131.39,131.73,131.25,131.66,977196.0,2023-11-13 09:45:00
2023-11-13 09:30:00,131.78,132.24,131.38,131.4,1635656.0,2023-11-13 09:30:00
2023-11-13 09:15:00,131.88,132.0,131.7,131.87,22972.0,2023-11-13 09:15:00
2023-11-13 09:00:00,131.9,132.0,131.8,131.83,11572.0,2023-11-13 09:00:00
2023-11-13 08:45:00,131.98,132.059,131.76,131.94,23792.0,2023-11-13 08:45:00
2023-11-13 08:30:00,132.35,132.432,131.88,131.98,15587.0,2023-11-13 08:30:00
2023-11-13 08:15:00,132.3,132.4,132.24,132.3,4059.0,2023-11-13 08:15:00
2023-11-13 08:00:00,132.18,132.59,131.52,132.31,24450.0,2023-11-13 08:00:00
2023-11-13 07:45:00,132.32,132.4,132.27,132.38,3602.0,2023-11-13 07:45:00
2023-11-13 07:30:00,132.25,132.33,132.19,132.31,5855.0,2023-11-13 07:30:00
2023-11-13 07:15:00,132.23,132.29,132.12,132.28,9569.0,2023-11-13 07:15:00
2023-11-13 07:00:00,132.21,132.32,132.12,132.22,9587.0,2023-11-13 07:00:00
2023-11-13 06:45:00,132.1,132.21,132.1,132.2,492.0,2023-11-13 06:45:00
2023-11-13 06:30:00,132.09,132.12,132.03,132.11,439.0,2023-11-13 06:30:00
2023-11-13 06:15:00,132.25,132.25,132.04,132.1,896.0,2023-11-13 06:15:00
2023-11-13 06:00:00,132.34,132.34,132.08,132.27,2971.0,2023-11-13 06:00:00
2023-11-13 05:45:00,132.27,132.39,132.19,132.39,1667.0,2023-11-13 05:45:00
2023-11-13 05:30:00,132.26,132.27,132.11,132.26,920.0,2023-11-13 05:30:00
2023-11-13 05:15:00,132.07,132.27,132.07,132.27,1549.0,2023-11-13 05:15:00
2023-11-13 05:00:00,132.16,132.16,132.04,132.05,1263.0,2023-11-13 05:00:00
2023-11-13 04:45:00,132.03,132.16,132.02,132.16,907.0,2023-11-13 04:45:00
2023-11-13 04:30:00,132.07,132.07,131.93,132.0,2067.0,2023-11-13 04:30:00
2023-11-13 04:15:00,131.97,132.14,131.97,132.04,2228.0,2023-11-13 04:15:00
2023-11-13 04:00:00,131.95,132.09,131.89,131.97,1560.0,2023-11-13 04:00:00
2023-11-10 19:45:00,132.22,132.3,132.18,132.27,3543.0,2023-11-10 19:45:00
2023-11-10 19:30:00,132.2,132.29,132.2,132.2,837.0,2023-11-10 19:30:00
2023-11-10 19:15:00,132.2,132.31,132.2,132.29,2177.0,2023-11-10 19:15:00
2023-11-10 19:00:00,132.22,132.32,132.12,132.2,3216.0,2023-11-10 19:00:00
2023-11-10 18:45:00,132.33,132.33,132.17,132.2,1249.0,2023-11-10 18:45:00
2023-11-10 18:30:00,132.29,132.33,132.2,132.2,1807.0,2023-11-10 18:30:00
2023-11-10 18:15:00,132.18,132.33,132.17,132.28,1365.0,2023-11-10 18:15:00
